"id";"time";"attrstring";"value"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:25:00+07";"";"0.046"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:25:00+07";"";"1.066"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:25:23+07";"";"45.9"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:26:00+07";"";"0.046"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:26:00+07";"";"1.079"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:26:21+07";"";"45.9"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:27:00+07";"";"0.045"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:27:00+07";"";"1.074"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:27:20+07";"";"46.0"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:28:00+07";"";"0.045"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:28:00+07";"";"1.075"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:28:18+07";"";"45.9"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:29:00+07";"";"0.046"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:29:00+07";"";"1.066"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:29:17+07";"";"45.9"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:30:00+07";"";"0.046"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:30:00+07";"";"1.077"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:30:15+07";"";"46.0"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:31:00+07";"";"0.048"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:31:00+07";"";"1.078"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:31:14+07";"";"46.0"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:32:00+07";"";"0.061"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:32:00+07";"";"1.072"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:32:13+07";"";"46.0"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:33:00+07";"";"0.051"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:33:00+07";"";"1.060"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:33:11+07";"";"46.0"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:34:00+07";"";"0.055"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:34:00+07";"";"1.076"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:34:10+07";"";"46.0"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:35:00+07";"";"0.047"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:35:00+07";"";"1.079"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:35:08+07";"";"46.0"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:36:00+07";"";"0.047"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:36:00+07";"";"1.461"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:36:07+07";"";"46.0"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:37:00+07";"";"0.047"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:37:00+07";"";"1.069"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:37:06+07";"";"46.0"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:38:00+07";"";"0.050"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:38:00+07";"";"1.078"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:38:04+07";"";"46.0"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:39:00+07";"";"0.054"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:39:00+07";"";"1.076"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:39:03+07";"";"46.0"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:40:00+07";"";"0.062"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:40:00+07";"";"1.455"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:40:01+07";"";"46.0"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:41:00+07";"";"46.0"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:41:00+07";"";"0.058"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:41:00+07";"";"1.064"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:41:58+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:42:00+07";"";"0.049"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:42:00+07";"";"1.079"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:42:57+07";"";"46.0"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:43:00+07";"";"0.048"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:43:00+07";"";"1.069"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:43:55+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:44:00+07";"";"0.048"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:44:00+07";"";"1.077"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:44:54+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:45:00+07";"";"0.048"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:45:00+07";"";"1.216"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:45:54+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:46:00+07";"";"0.047"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:46:00+07";"";"1.072"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:46:52+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:47:00+07";"";"0.048"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:47:00+07";"";"1.286"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:47:50+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:48:00+07";"";"0.055"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:48:00+07";"";"1.066"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:48:49+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:49:00+07";"";"0.054"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:49:00+07";"";"1.062"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:49:47+07";"";"46.0"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:50:00+07";"";"0.064"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:50:00+07";"";"1.069"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:50:46+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:51:00+07";"";"0.067"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:51:00+07";"";"1.074"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:51:44+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:52:00+07";"";"0.055"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:52:00+07";"";"1.091"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:52:43+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:53:00+07";"";"0.053"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:53:00+07";"";"1.074"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:53:41+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:54:00+07";"";"0.065"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:54:00+07";"";"1.057"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:54:40+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:55:00+07";"";"0.053"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:55:00+07";"";"1.073"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:55:38+07";"";"46.3"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:56:00+07";"";"0.050"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:56:00+07";"";"1.080"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:56:38+07";"";"46.3"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:57:00+07";"";"0.054"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:57:00+07";"";"1.083"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:57:36+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:58:00+07";"";"0.050"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:58:00+07";"";"1.052"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:58:35+07";"";"46.3"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 13:59:00+07";"";"0.047"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 13:59:00+07";"";"1.096"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 13:59:33+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:00:00+07";"";"0.048"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:00:00+07";"";"1.086"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:00:32+07";"";"46.3"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:01:00+07";"";"0.056"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:01:00+07";"";"1.067"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:01:30+07";"";"46.2"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:02:00+07";"";"1.078"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:02:00+07";"";"0.050"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:02:29+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:03:00+07";"";"0.064"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:03:00+07";"";"1.084"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:03:27+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:04:00+07";"";"0.059"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:04:00+07";"";"1.083"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:04:26+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:05:00+07";"";"0.056"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:05:00+07";"";"1.079"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:05:25+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:06:00+07";"";"0.052"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:06:00+07";"";"1.069"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:06:24+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:07:00+07";"";"0.059"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:07:00+07";"";"1.060"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:07:22+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:08:00+07";"";"0.049"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:08:00+07";"";"1.082"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:08:20+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:09:00+07";"";"0.047"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:09:00+07";"";"1.092"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:09:19+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:10:00+07";"";"0.048"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:10:00+07";"";"1.072"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:10:17+07";"";"46.3"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:11:00+07";"";"0.048"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:11:00+07";"";"1.084"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:11:16+07";"";"46.3"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:12:00+07";"";"0.049"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:12:00+07";"";"1.089"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:12:14+07";"";"46.4"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:13:00+07";"";"0.048"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:13:00+07";"";"1.082"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:13:13+07";"";"46.3"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:14:00+07";"";"0.050"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:14:00+07";"";"1.074"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:14:11+07";"";"46.3"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:15:00+07";"";"0.048"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:15:00+07";"";"1.080"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:15:10+07";"";"46.3"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:16:00+07";"";"0.047"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:16:00+07";"";"1.073"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:16:08+07";"";"46.3"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:17:00+07";"";"0.046"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:17:00+07";"";"1.455"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:17:07+07";"";"46.3"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:18:00+07";"";"0.045"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:18:00+07";"";"1.068"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:18:06+07";"";"46.3"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:19:00+07";"";"0.044"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:19:00+07";"";"1.078"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:19:04+07";"";"46.3"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:20:00+07";"";"0.045"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:20:00+07";"";"1.082"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:20:03+07";"";"46.3"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:21:00+07";"";"0.044"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:21:00+07";"";"1.093"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:21:02+07";"";"46.3"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:22:00+07";"";"0.044"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:22:00+07";"";"1.077"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:22:01+07";"";"46.3"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:22:59+07";"";"46.3"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:23:00+07";"";"0.044"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:23:00+07";"";"1.085"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:23:58+07";"";"46.3"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:24:00+07";"";"0.043"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:24:00+07";"";"1.093"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:24:56+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:25:00+07";"";"0.043"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:25:00+07";"";"1.095"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:25:55+07";"";"46.3"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:26:00+07";"";"0.045"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:26:00+07";"";"1.070"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:26:54+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:27:00+07";"";"0.047"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:27:00+07";"";"1.076"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:27:52+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:28:00+07";"";"0.053"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:28:00+07";"";"1.071"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:28:50+07";"";"46.3"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:29:00+07";"";"0.045"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:29:00+07";"";"1.079"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:29:49+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:30:00+07";"";"0.045"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:30:00+07";"";"1.067"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:30:47+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:31:00+07";"";"0.046"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:31:00+07";"";"1.083"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:31:46+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:32:00+07";"";"0.043"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:32:00+07";"";"1.078"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:32:45+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:33:00+07";"";"0.043"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:33:00+07";"";"1.081"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:33:43+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:34:00+07";"";"0.044"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:34:00+07";"";"1.066"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:34:42+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:35:00+07";"";"0.044"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:35:00+07";"";"1.070"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:35:40+07";"";"46.0"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:36:00+07";"";"0.043"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:36:00+07";"";"1.071"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:36:39+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:37:00+07";"";"0.044"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:37:00+07";"";"1.074"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:37:37+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:38:00+07";"";"0.041"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:38:00+07";"";"1.060"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:38:36+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:39:00+07";"";"0.042"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:39:00+07";"";"1.076"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:39:34+07";"";"46.0"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:40:00+07";"";"0.045"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:40:00+07";"";"1.074"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:40:33+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:41:00+07";"";"0.044"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:41:00+07";"";"1.073"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:41:31+07";"";"46.0"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:42:00+07";"";"0.042"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:42:00+07";"";"1.058"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:42:30+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:43:00+07";"";"0.043"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:43:00+07";"";"1.072"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:43:29+07";"";"46.0"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:44:00+07";"";"0.043"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:44:00+07";"";"1.071"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:44:28+07";"";"46.2"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:45:00+07";"";"0.043"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 14:45:00+07";"";"1.072"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 14:45:26+07";"";"46.0"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 14:46:00+07";"";"0.044"
