"id";"time";"attrstring";"value"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:18:00+07";"";"1.778"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:18:32+07";"";"44.8"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:19:00+07";"";"0.015"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:19:00+07";"";"1.784"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:19:31+07";"";"44.8"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:20:00+07";"";"0.013"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:20:00+07";"";"1.786"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:20:30+07";"";"44.9"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:21:00+07";"";"0.016"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:21:00+07";"";"1.754"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:21:28+07";"";"44.8"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:22:00+07";"";"0.016"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:22:00+07";"";"1.781"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:22:27+07";"";"44.8"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:23:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:23:00+07";"";"1.779"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:23:25+07";"";"44.8"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:24:00+07";"";"0.014"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:24:00+07";"";"1.916"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:24:24+07";"";"44.9"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:25:00+07";"";"0.015"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:25:00+07";"";"1.971"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:25:22+07";"";"44.8"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:26:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:26:00+07";"";"1.991"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:26:21+07";"";"44.9"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:27:00+07";"";"0.018"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:27:00+07";"";"1.984"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:27:20+07";"";"44.9"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:28:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:28:00+07";"";"1.979"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:28:19+07";"";"44.8"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:29:00+07";"";"0.015"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:29:00+07";"";"1.967"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:29:17+07";"";"44.9"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:30:00+07";"";"0.015"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:30:00+07";"";"1.997"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:30:16+07";"";"44.9"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:31:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:31:00+07";"";"1.725"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:31:14+07";"";"44.9"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:32:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:32:00+07";"";"1.211"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:32:13+07";"";"44.9"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:33:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:33:00+07";"";"1.196"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:33:12+07";"";"44.9"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:34:00+07";"";"0.015"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:34:00+07";"";"1.213"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:34:10+07";"";"44.9"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:35:00+07";"";"0.015"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:35:00+07";"";"1.213"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:35:09+07";"";"44.9"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:36:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:36:00+07";"";"1.211"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:36:07+07";"";"44.8"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:37:00+07";"";"0.018"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:37:00+07";"";"1.195"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:37:06+07";"";"44.9"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:38:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:38:00+07";"";"1.211"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:38:04+07";"";"44.8"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:39:00+07";"";"0.016"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:39:00+07";"";"1.211"
